Location,Area,Year,Classification,Count,Proportion
New Mills West Ward,New Mills West Ward,2011,Never worked & long-term unemployed,286.0,0.06888246628131021
New Mills West Ward,New Mills West Ward,2021,Never worked & long-term unemployed,264.0,0.07482993197278912
New Mills East Ward,New Mills East Ward,1971,Never worked & long-term unemployed,35.0,0.14767932489451477
New Mills East Ward,New Mills East Ward,1981,Never worked & long-term unemployed,11.0,0.05612244897959184
New Mills East Ward,New Mills East Ward,1991,Never worked & long-term unemployed,0.0,0.0
New Mills East Ward,New Mills East Ward,2001,Never worked & long-term unemployed,203.0,0.08978328173374613
New Mills East Ward,New Mills East Ward,2011,Never worked & long-term unemployed,333.0,0.0996111277295842
New Mills East Ward,New Mills East Ward,2021,Never worked & long-term unemployed,400.0,0.12066365007541478
Buxton Central Ward,Buxton Central Ward,1971,Never worked & long-term unemployed,29.0,0.13063063063063063
Buxton Central Ward,Buxton Central Ward,1981,Never worked & long-term unemployed,8.0,0.05194805194805195
Buxton Central Ward,Buxton Central Ward,1991,Never worked & long-term unemployed,3.0,0.019867549668874173
Buxton Central Ward,Buxton Central Ward,2001,Never worked & long-term unemployed,207.0,0.08945548833189283
Buxton Central Ward,Buxton Central Ward,2011,Never worked & long-term unemployed,689.0,0.18008363826450602
Buxton Central Ward,Buxton Central Ward,2021,Never worked & long-term unemployed,448.0,0.1413695171978542
Dinting Ward,Dinting Ward,1971,Never worked & long-term unemployed,13.0,0.10833333333333334
Dinting Ward,Dinting Ward,1981,Never worked & long-term unemployed,9.0,0.056962025316455694
Dinting Ward,Dinting Ward,1991,Never worked & long-term unemployed,2.0,0.013888888888888888
Dinting Ward,Dinting Ward,2001,Never worked & long-term unemployed,99.0,0.07710280373831775
Dinting Ward,Dinting Ward,2011,Never worked & long-term unemployed,114.0,0.06060606060606061
Dinting Ward,Dinting Ward,2021,Never worked & long-term unemployed,168.0,0.08337468982630274
Old Glossop Ward,Old Glossop Ward,1971,Never worked & long-term unemployed,9.0,0.11392405063291139
Old Glossop Ward,Old Glossop Ward,1981,Never worked & long-term unemployed,7.0,0.056451612903225805
Old Glossop Ward,Old Glossop Ward,1991,Never worked & long-term unemployed,2.0,0.010471204188481676
Old Glossop Ward,Old Glossop Ward,2001,Never worked & long-term unemployed,192.0,0.08387942332896461
Old Glossop Ward,Old Glossop Ward,2011,Never worked & long-term unemployed,314.0,0.07395195478097033
Old Glossop Ward,Old Glossop Ward,2021,Never worked & long-term unemployed,362.0,0.09637912673056442
Hadfield South Ward,Hadfield South Ward,1971,Never worked & long-term unemployed,26.0,0.10970464135021098
Hadfield South Ward,Hadfield South Ward,1981,Never worked & long-term unemployed,11.0,0.05392156862745098
Hadfield South Ward,Hadfield South Ward,1991,Never worked & long-term unemployed,2.0,0.008298755186721992
Hadfield South Ward,Hadfield South Ward,2001,Never worked & long-term unemployed,241.0,0.08610217934976777
Hadfield South Ward,Hadfield South Ward,2011,Never worked & long-term unemployed,331.0,0.08511185394703008
Hadfield South Ward,Hadfield South Ward,2021,Never worked & long-term unemployed,380.0,0.11114360924246856
Hadfield North Ward,Hadfield North Ward,1971,Never worked & long-term unemployed,21.0,0.14685314685314685
Hadfield North Ward,Hadfield North Ward,1981,Never worked & long-term unemployed,10.0,0.06578947368421052
Hadfield North Ward,Hadfield North Ward,1991,Never worked & long-term unemployed,1.0,0.009174311926605505
Hadfield North Ward,Hadfield North Ward,2001,Never worked & long-term unemployed,158.0,0.11686390532544379
Hadfield North Ward,Hadfield North Ward,2011,Never worked & long-term unemployed,232.0,0.11278561011181332
Hadfield North Ward,Hadfield North Ward,2021,Never worked & long-term unemployed,273.0,0.1436842105263158
Tameside District,Tameside District,1841,Never worked & long-term unemployed,,
Tameside District,Tameside District,1881,Never worked & long-term unemployed,,
Tameside District,Tameside District,1931,Never worked & long-term unemployed,,
Tameside District,Tameside District,1971,Never worked & long-term unemployed,969.0,0.07562041517090683
Tameside District,Tameside District,1981,Never worked & long-term unemployed,981.0,0.07622377622377623
Tameside District,Tameside District,1991,Never worked & long-term unemployed,137.0,0.01340508806262231
Tameside District,Tameside District,2001,Never worked & long-term unemployed,12854.0,0.10331053439531912
Tameside District,Tameside District,2011,Never worked & long-term unemployed,20456.0,0.107972299636855
Tameside District,Tameside District,2021,Never worked & long-term unemployed,29461.0,0.15917379394554992
High Peak District,High Peak District,1841,Never worked & long-term unemployed,,
High Peak District,High Peak District,1881,Never worked & long-term unemployed,,
High Peak District,High Peak District,1931,Never worked & long-term unemployed,,
High Peak District,High Peak District,1971,Never worked & long-term unemployed,591.0,0.1320080410989502
High Peak District,High Peak District,1981,Never worked & long-term unemployed,368.0,0.07987844584328196
High Peak District,High Peak District,1991,Never worked & long-term unemployed,75.0,0.01789549033643522
High Peak District,High Peak District,2001,Never worked & long-term unemployed,4560.0,0.08497633334575677
High Peak District,High Peak District,2011,Never worked & long-term unemployed,6994.0,0.08516597257738487
High Peak District,High Peak District,2021,Never worked & long-term unemployed,8095.0,0.10696635746187795
Saddleworth South Ward,Saddleworth South Ward,1971,Never worked & long-term unemployed,52.0,0.1092436974789916
Saddleworth South Ward,Saddleworth South Ward,1981,Never worked & long-term unemployed,31.0,0.06187624750499002
Saddleworth South Ward,Saddleworth South Ward,1991,Never worked & long-term unemployed,8.0,0.018648018648018648
Saddleworth South Ward,Saddleworth South Ward,2001,Never worked & long-term unemployed,486.0,0.0861244019138756
Saddleworth South Ward,Saddleworth South Ward,2011,Never worked & long-term unemployed,608.0,0.064
Saddleworth South Ward,Saddleworth South Ward,2021,Never worked & long-term unemployed,866.0,0.10302165120152272
